Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
125,Didier Drogba\Didier-Drogba,ci CIV,FW,Montreal,36,1978,11,9,872,11,1,1,1,1,0,1.14,0.1,1.24,1.03,1.14
126,Dilly Duka\Dilly-Duka,us USA,MF,Montreal,25,1989,27,19,1786,2,2,0,0,1,0,0.1,0.1,0.2,0.1,0.2
127,Todd Dunivant\Todd-Dunivant,us USA,DF,LA Galaxy,34,1980,2,1,67,0,0,0,0,0,0,0,0,0,0,0
128,Matt Dunn\Matt-Dunn,us USA,MF,NYCFC,21,1994,1,0,53,0,0,0,0,0,0,0,0,0,0,0
129,Chris Duvall\Chris-Duvall,us USA,DF,NY Red Bulls,23,1991,15,14,1284,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14
130,Dom Dwyer\Dom-Dwyer,us USA,FW,Sporting KC,24,1990,30,28,2547,12,2,0,1,8,1,0.42,0.07,0.49,0.42,0.49
131,Andrew Dykstra\Andrew-Dykstra,us USA,GK,D.C. United,29,1986,9,9,777,0,0,0,0,0,0,0,0,0,0,0
132,Robert Earnshaw\Robert-Earnshaw,wal WAL,FW,Vancouver,33,1981,9,0,49,2,0,0,0,0,0,3.67,0,3.67,3.67,3.67
133,Maurice Edu\Maurice-Edu,us USA,DFMF,Philadelphia,28,1986,22,22,1980,1,1,0,1,7,0,0.05,0.05,0.09,0.05,0.09
134,Kevin Ellis\Kevin-Ellis,us USA,DF,Sporting KC,23,1991,27,26,2335,4,0,0,0,5,0,0.15,0,0.15,0.15,0.15
135,Charles Eloundou\Charles-Eloundou,cm CMR,FW,Colorado,20,1994,11,3,348,0,2,0,0,0,0,0,0.52,0.52,0,0.52
